Value,H
0,3978
1,4433
2,4963
3,6411
4,7047
5,3297
6,1565
7,883
8,849
9,1073
10,1344
11,1459
12,1950
13,1933
14,1389
15,1802
16,1610
17,1638
18,1746
19,1386
20,1322
21,1152
22,987
23,1072
24,971
25,806
26,854
27,648
28,566
29,391
30,575
31,383
32,454
33,390
34,341
35,284
36,281
37,299
38,290
39,230
40,295
41,248
42,274
43,273
44,242
45,285
46,273
47,215
48,279
49,246
50,235
51,221
52,137
53,116
54,97
55,86
56,105
57,80
58,69
59,41
60,73
61,67
62,55
63,67
64,76
65,49
66,58
67,54
68,63
69,78
70,81
71,26
72,59
73,61
74,69
75,87
76,67
77,73
78,71
79,70
80,108
81,83
82,89
83,68
84,101
85,99
86,124
87,104
88,127
89,106
90,127
91,113
92,116
93,149
94,151
95,135
96,184
97,220
98,185
99,191
100,155
101,81
102,86
103,54
104,55
105,42
106,13
107,10
108,5
109,4
110,2
111,5
112,3
113,1
114,2
115,1
116,2
117,1
118,0
119,1
120,15
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,1
345,9
346,12
347,6
348,13
349,21
350,37
351,73
352,142
353,219
354,279
355,411
356,694
357,1255
358,1664
359,1980
360,0
